threshold,f1
0.05,0.45928555580208563
0.060000000000000005,0.4873989538754161
0.07,0.49492508458192364
0.08000000000000002,0.5153592282305154
0.09000000000000001,0.5292887029288703
0.1,0.5378687217645496
0.11000000000000001,0.5520487264673312
0.12000000000000001,0.5644520159000568
0.13,0.5682275208273485
0.14,0.5774896876841485
0.15000000000000002,0.5923879680785759
0.16000000000000003,0.5954389253358325
0.17000000000000004,0.5976425613252628
0.18000000000000005,0.6029268292682927
0.19,0.6055829228243022
0.2,0.6098624622609863
0.21000000000000002,0.6198060941828255
0.22000000000000003,0.620981985164253
0.23000000000000004,0.6205903527717782
0.24000000000000005,0.6188373804267844
0.25000000000000006,0.6186726659167604
0.26000000000000006,0.6214039125431531
0.27,0.6225831399845321
0.28,0.6255886970172685
0.29000000000000004,0.6228847703464948
0.30000000000000004,0.6230452674897119
0.31000000000000005,0.6206315789473684
0.32000000000000006,0.615916955017301
0.33,0.6146427005699254
0.34,0.6097451944568618
0.35000000000000003,0.6084558823529411
0.36000000000000004,0.6019690576652602
0.37000000000000005,0.5981844242713807
0.38000000000000006,0.5836993655441679
0.39000000000000007,0.5710014947683109
0.4000000000000001,0.565017848036716
0.4100000000000001,0.5575820739968733
0.42000000000000004,0.5500267522739433
0.43000000000000005,0.541871921182266
0.44000000000000006,0.5321408608160983
0.45000000000000007,0.5180102915951973
0.4600000000000001,0.5029308323563892
0.4700000000000001,0.4970202622169249
0.4800000000000001,0.4848851269649335
0.49000000000000005,0.47455548743102394
0.5000000000000001,0.46211646837820913
0.5100000000000001,0.44529750479846447
0.5200000000000001,0.4372153545868575
0.5300000000000001,0.423841059602649
0.5400000000000001,0.4169468728984533
0.5500000000000002,0.3997262149212868
0.5600000000000002,0.39139486467730744
0.5700000000000002,0.3726182074805928
0.5800000000000002,0.3653295128939828
0.5900000000000002,0.35584604212055193
0.6000000000000002,0.34725274725274724
0.6100000000000001,0.33110616184112845
0.6200000000000001,0.3278443113772455
0.6300000000000001,0.3141122913505311
0.6400000000000001,0.2921174652241113
0.6500000000000001,0.27094753328112764
0.6600000000000001,0.2608695652173913
0.6700000000000002,0.2391653290529695
0.6800000000000002,0.2288961038961039
0.6900000000000002,0.21621621621621623
0.7000000000000002,0.1988400994200497
0.7100000000000002,0.18864774624373956
0.7200000000000002,0.17229729729729729
0.7300000000000002,0.16040955631399317
0.7400000000000002,0.15739948674080412
0.7500000000000002,0.14642549526270457
0.7600000000000002,0.14372294372294372
0.7700000000000002,0.13123359580052493
0.7800000000000001,0.11806167400881057
0.7900000000000001,0.10666666666666667
0.8000000000000002,0.09489704565801253
0.8100000000000002,0.0811541929666366
0.8200000000000002,0.06915377616014559
0.8300000000000002,0.062100456621004566
0.8400000000000002,0.04251386321626617
0.8500000000000002,0.024253731343283583
0.8600000000000002,0.020560747663551402
0.8700000000000002,0.020560747663551402
0.8800000000000002,0.011267605633802818
0.8900000000000002,0.005649717514124294
0.9000000000000002,0.003770028275212064
0.9100000000000003,0.003770028275212064
0.9200000000000003,0.0018885741265344666
0.9300000000000002,0.0018885741265344666
0.9400000000000002,0.0018885741265344666
0.9500000000000002,0.0
